"testId","tech","paramIdx","param","mddl","mda","mae_md","rmse_md","mae","rmse","dist"
1,"forcedectimedomain",1," 4,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",2," 5,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",3," 6,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",4," 7,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",5," 8,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",6," 9,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",7,"10,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",8,"15,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",9,"25,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",10,"30,30,0.001,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",11," 4,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",12," 5,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",13," 6,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",14," 7,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",15," 8,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",16," 9,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",17,"10,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",18,"15,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",19,"25,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",20,"30,30,0.002,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",21," 4,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",22," 5,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",23," 6,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",24," 7,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",25," 8,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",26," 9,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",27,"10,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",28,"15,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",29,"25,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",30,"30,30,0.003,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",31," 4,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",32," 5,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",33," 6,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",34," 7,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",35," 8,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",36," 9,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",37,"10,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",38,"15,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",39,"25,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",40,"30,30,0.004,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",41," 4,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",42," 5,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",43," 6,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",44," 7,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",45," 8,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",46," 9,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",47,"10,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",48,"15,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",49,"25,30,0.005,2,20",0.21,0,0,0,0,0,NA
1,"forcedectimedomain",50,"30,30,0.005,2,20",0.21,0,0,0,0,0,NA
