"testId","tech","paramIdx","param","mddl","mda","mae_md","rmse_md","mae","rmse","dist"
8,"ssa",326," 9, 9,nd-ssa,2,20",-0.596711767001245,0.897457084606161,0.0161080669935008,0.897457084606161,0.016263477223299,0.0205722943102199,0.738257451612556
8,"ssa",327,"10, 9,nd-ssa,2,20",-0.120709619441434,0.850915655086262,0.0152875655422361,0.850915655086262,0.0154632750434956,0.01953266939175,0.253646799494484
8,"ssa",328,"25, 9,nd-ssa,2,20",-0.145903932745969,0.549341922600908,0.0100249707839267,0.549341922600908,0.0101683014227387,0.0126390302473216,1.05870152012655
8,"ssa",329,"50, 9,nd-ssa,2,20",-0.387949216361224,0.396415659570053,0.0072073615775064,0.396415659570053,0.00734367456763359,0.0090996276152343,1.74102823560017
8,"ssa",334,"10,10,nd-ssa,2,20",-0.518901321006881,0.850915655086262,0.0152875655422361,0.850915655086262,0.0154632750434956,0.01953266939175,0.570925600669932
8,"ssa",335,"25,10,nd-ssa,2,20",-1.40286237264941,0.549341922600908,0.0100249707839267,0.549341922600908,0.0101683014227387,0.0126390302473216,1.77919448538736
8,"ssa",336,"50,10,nd-ssa,2,20",1.29398098464907,0.396415659570053,0.0072073615775064,0.396415659570053,0.00734367456763359,0.0090996276152343,2.16767842787293
8,"ssa",342,"25,25,nd-ssa,2,20",0.817624907030346,0.549341922600908,0.0100249707839267,0.549341922600908,0.0101683014227387,0.0126390302473216,1.35477083586832
8,"ssa",343,"50,25,nd-ssa,2,20",1.18745936829647,0.396415659570053,0.0072073615775064,0.396415659570053,0.00734367456763359,0.0090996276152343,2.10100615041465
8,"ssa",350,"50,50,nd-ssa,2,20",0.588962663449606,0.396415659570053,0.0072073615775064,0.396415659570053,0.00734367456763359,0.0090996276152343,1.80698928916349
9,"ssa",1," 6, 3,1d-ssa,2,20",-1.5353443634746,2.21105746552801,0.0401189393164825,2.21105746552801,0.0403871000359776,0.0504895447598124,1.92686303126639
9,"ssa",2," 7, 3,1d-ssa,2,20",-0.930713977564662,2.041013841718,0.0367772422599757,2.041013841718,0.0370433225050273,0.0466685602167203,1.26229635510161
9,"ssa",3," 8, 3,1d-ssa,2,20",0.219761567971693,1.90590417484747,0.0342012464255133,1.90590417484747,0.0344836629931524,0.0436423744274715,0.707783865086529
9,"ssa",4," 9, 3,1d-ssa,2,20",0.193436691534779,1.79545624136084,0.0322247690512463,1.79545624136084,0.0325354263371085,0.041156922351341,0.493366081850043
9,"ssa",5,"10, 3,1d-ssa,2,20",-0.391679542562141,1.7027050552474,0.0305908172524933,1.7027050552474,0.0309418523291682,0.039085141410078,0.405942259675439
9,"ssa",6,"25, 3,1d-ssa,2,20",-0.385745136664049,1.09861123010698,0.0200480689165299,1.09861123010698,0.020334574830451,0.0252763855040092,1.04382971694002
9,"ssa",7,"50, 3,1d-ssa,2,20",1.49389619214953,0.792807966960494,0.0144146239987653,0.792807966960494,0.0146870908159254,0.0181986105300888,2.21320344514064
9,"ssa",8," 6, 4,1d-ssa,2,20",1.6096764345965,2.21105746552801,0.0401189393164825,2.21105746552801,0.0403871000359776,0.0504895447598124,2.06615594388734
9,"ssa",9," 7, 4,1d-ssa,2,20",-0.670118191574795,2.041013841718,0.0367772422599757,2.041013841718,0.0370433225050273,0.0466685602167203,1.10660420391517
9,"ssa",10," 8, 4,1d-ssa,2,20",-0.0317165804557677,1.90590417484747,0.0342012464255133,1.90590417484747,0.0344836629931524,0.0436423744274715,0.655213571128689
