"","id","model","model.params","series","mddl","mda"
"3429",3429,"Wavelets","d8,3,reflection","data/series_08.RData","2.07228842548","0.0052257074245419"
"3430",3430,"Wavelets","d10,3,reflection","data/series_08.RData","2.52172552430164","0.00565293602868502"
"3431",3431,"Wavelets","d12,3,reflection","data/series_08.RData","2.63467291772004","0.00567591047866841"
"3432",3432,"Wavelets","d14,3,reflection","data/series_08.RData","2.31196390830244","0.00512312449554061"
"3433",3433,"Wavelets","d16,3,reflection","data/series_08.RData","1.74931921515413","0.0048851502825633"
"3434",3434,"Wavelets","d18,3,reflection","data/series_08.RData","1.99101419821713","0.00527033188279973"
"3435",3435,"Wavelets","d20,3,reflection","data/series_08.RData","3.01903209012625","0.00575251075270675"
"3436",3436,"Wavelets","la8,3,reflection","data/series_08.RData","3.33965599105408","0.00574999309078224"
"3437",3437,"Wavelets","la10,3,reflection","data/series_08.RData","1.64862582504721","0.00480177919053497"
"3438",3438,"Wavelets","la12,3,reflection","data/series_08.RData","2.06143991744611","0.00543769377283167"
"3439",3439,"Wavelets","la14,3,reflection","data/series_08.RData","3.21445047203908","0.00554508543478257"
"3440",3440,"Wavelets","la16,3,reflection","data/series_08.RData","1.72972867488184","0.00479707543839977"
"3441",3441,"Wavelets","la18,3,reflection","data/series_08.RData","3.34934458111513","0.00558387105358734"
"3442",3442,"Wavelets","la20,3,reflection","data/series_08.RData","1.92776493274112","0.00491429647824484"
"3443",3443,"Wavelets","bl14,3,reflection","data/series_08.RData","2.84041880943665","0.00570850539318521"
"3444",3444,"Wavelets","bl18,3,reflection","data/series_08.RData","1.48045776679353","0.00482757943477622"
"3445",3445,"Wavelets","bl20,3,reflection","data/series_08.RData","3.52616338048053","0.00521321851212917"
"3446",3446,"Wavelets","c6,3,reflection","data/series_08.RData","2.87932159049","0.0196843085079875"
"3447",3447,"Wavelets","c12,3,reflection","data/series_08.RData","1.46052153597001","0.00494446761490211"
"3448",3448,"Wavelets","c18,3,reflection","data/series_08.RData","2.7358505592635","0.00553376429276096"
"3449",3449,"Wavelets","c24,3,reflection","data/series_08.RData","1.94245958664374","0.0049058098357695"
"3450",3450,"Wavelets","c30,3,reflection","data/series_08.RData","2.95316018864925","0.00556516470621579"
"3451",3451,"Wavelets","d2,4,reflection","data/series_08.RData","3.45055481517105","0.229768375516986"
"3452",3452,"Wavelets","d4,4,reflection","data/series_08.RData","6.37126272847008","0.0817856120132846"
"3453",3453,"Wavelets","d6,4,reflection","data/series_08.RData","6.33373773068989","0.035005318136165"
"3454",3454,"Wavelets","d8,4,reflection","data/series_08.RData","8.32548960709778","0.0174904206417847"
"3455",3455,"Wavelets","d10,4,reflection","data/series_08.RData","6.40977400151157","0.0101979824160585"
"3456",3456,"Wavelets","d12,4,reflection","data/series_08.RData","7.59554113950054","0.00927585758238559"
"3457",3457,"Wavelets","d14,4,reflection","data/series_08.RData","7.53668182098638","0.00865238953863526"
"3458",3458,"Wavelets","d16,4,reflection","data/series_08.RData","7.36045799638622","0.00651939222815823"
"3459",3459,"Wavelets","d18,4,reflection","data/series_08.RData","4.26446082300108","0.00617860309443561"
"3460",3460,"Wavelets","d20,4,reflection","data/series_08.RData","6.698940094399","0.00839696580277353"
"3461",3461,"Wavelets","la8,4,reflection","data/series_08.RData","4.78077392664507","0.0176824315498763"
"3462",3462,"Wavelets","la10,4,reflection","data/series_08.RData","6.54896131238024","0.00949200920789297"
"3463",3463,"Wavelets","la12,4,reflection","data/series_08.RData","5.38668132496963","0.0086368264233367"
"3464",3464,"Wavelets","la14,4,reflection","data/series_08.RData","5.23855238520142","0.00719155241941054"
"3465",3465,"Wavelets","la16,4,reflection","data/series_08.RData","6.9917126382682","0.00754248449701201"
"3466",3466,"Wavelets","la18,4,reflection","data/series_08.RData","4.67073315452247","0.00615084204703146"
"3467",3467,"Wavelets","la20,4,reflection","data/series_08.RData","6.52924379703182","0.00659924358122262"
